Series,Allocated to
5QA - 5QZ,Denmark
5RA - 5RZ,Madagascar
5SA - 5SZ,Madagascar
5TA - 5TZ,Mauritania
5UA - 5UZ,Niger
5VA - 5VZ,Togolese Republic
5WA - 5WZ,Samoa
5XA - 5XZ,Uganda
5YA - 5YZ,Kenya
5ZA - 5ZZ,Kenya
6AA - 6AZ,Egypt
6BA - 6BZ,Egypt
6CA - 6CZ,Syrian Arab Republic
6DA - 6DZ,Mexico
6EA - 6EZ,Mexico
6FA - 6FZ,Mexico
6GA - 6GZ,Mexico
6HA - 6HZ,Mexico
6IA - 6IZ,Mexico
6JA - 6JZ,Mexico
6KA - 6KZ,Korea
6LA - 6LZ,Korea
6MA - 6MZ,Korea
6NA - 6NZ,Korea
6OA - 6OZ,Somalia
6PA - 6PZ,Pakistan
6QA - 6QZ,Pakistan
6RA - 6RZ,Pakistan
6SA - 6SZ,Pakistan
6TA - 6TZ,Sudan
6UA - 6UZ,Sudan
6VA - 6VZ,Senegal
6WA - 6WZ,Senegal
6XA - 6XZ,Madagascar
6YA - 6YZ,Jamaica
6ZA - 6ZZ,Liberia
7AA - 7AZ,Indonesia
7BA - 7BZ,Indonesia
7CA - 7CZ,Indonesia
7DA - 7DZ,Indonesia
7EA - 7EZ,Indonesia
7FA - 7FZ,Indonesia
7GA - 7GZ,Indonesia
7HA - 7HZ,Indonesia
7IA - 7IZ,Indonesia
7JA - 7JZ,Japan
7KA - 7KZ,Japan
7LA - 7LZ,Japan
7MA - 7MZ,Japan
7NA - 7NZ,Japan
7OA - 7OZ,Yemen
7PA - 7PZ,Lesotho
7QA - 7QZ,Malawi
7RA - 7RZ,Algeria
7SA - 7SZ,Sweden
7TA - 7TZ,Algeria
7UA - 7UZ,Algeria
7VA - 7VZ,Algeria
7WA - 7WZ,Algeria
7XA - 7XZ,Algeria
7YA - 7YZ,Algeria
7ZA - 7ZZ,Saudi Arabia
8AA - 8AZ,Indonesia
8BA - 8BZ,Indonesia
8CA - 8CZ,Indonesia
8DA - 8DZ,Indonesia
8EA - 8EZ,Indonesia
8FA - 8FZ,Indonesia
8GA - 8GZ,Indonesia
8HA - 8HZ,Indonesia
8IA - 8IZ,Indonesia
8JA - 8JZ,Japan
8KA - 8KZ,Japan
8LA - 8LZ,Japan
8MA - 8MZ,Japan
8NA - 8NZ,Japan
8OA - 8OZ,Botswana
8PA - 8PZ,Barbados
8QA - 8QZ,Maldives
8RA - 8RZ,Guyana
8SA - 8SZ,Sweden
8TA - 8TZ,India
8UA - 8UZ,India
8VA - 8VZ,India
8WA - 8WZ,India
8XA - 8XZ,India
8YA - 8YZ,India
8ZA - 8ZZ,Saudi Arabia
9AA - 9AZ,Croatia
9BA - 9BZ,Iran
9CA - 9CZ,Iran
9DA - 9DZ,Iran
9EA - 9EZ,Ethiopia
9FA - 9FZ,Ethiopia
9GA - 9GZ,Ghana
9HA - 9HZ,Malta
9IA - 9IZ,Zambia
9JA - 9JZ,Zambia
9KA - 9KZ,Kuwait
9LA - 9LZ,Sierra Leone
9MA - 9MZ,Malaysia
9NA - 9NZ,Nepal
9OA - 9OZ,Democratic Republic of the Congo
9PA - 9PZ,Democratic Republic of the Congo
9QA - 9QZ,Democratic Republic of the Congo
9RA - 9RZ,Democratic Republic of the Congo
9SA - 9SZ,Democratic Republic of the Congo
9TA - 9TZ,Democratic Republic of the Congo
9UA - 9UZ,Burundi
9VA - 9VZ,Singapore
9WA - 9WZ,Malaysia
9XA - 9XZ,Rwanda
9YA - 9YZ,Trinidad and Tobago
9ZA - 9ZZ,Trinidad and Tobago
A2A - A2Z,Botswana
A3A - A3Z,Tonga
A4A - A4Z,Oman (Sultanate of)
A5A - A5Z,Bhutan
A6A - A6Z,United Arab Emirates
A7A - A7Z,Qatar
A8A - A8Z,Liberia
A9A - A9Z,Bahrain
AAA - AAZ,United States of America
ABA - ABZ,United States of America
ACA - ACZ,United States of America
ADA - ADZ,United States of America
AEA - AEZ,United States of America
AFA - AFZ,United States of America
AGA - AGZ,United States of America
AHA - AHZ,United States of America
AIA - AIZ,United States of America
AJA - AJZ,United States of America
AKA - AKZ,United States of America
ALA - ALZ,United States of America
AMA - AMZ,Spain
ANA - ANZ,Spain
AOA - AOZ,Spain
APA - APZ,Pakistan
AQA - AQZ,Pakistan
ARA - ARZ,Pakistan
ASA - ASZ,Pakistan
ATA - ATZ,India
AUA - AUZ,India
AVA - AVZ,India
AWA - AWZ,India
AXA - AXZ,Australia
AYA - AYZ,Argentine Republic
AZA - AZZ,Argentine Republic
BAA - BAZ,China
BBA - BBZ,China
BCA - BCZ,China
BDA - BDZ,China
BEA - BEZ,China
BFA - BFZ,China
BGA - BGZ,China
BHA - BHZ,China
BIA - BIZ,China
BJA - BJZ,China
BKA - BKZ,China
BLA - BLZ,China
BMA - BMZ,China
BNA - BNZ,China
BOA - BOZ,China
BPA - BPZ,China
BQA - BQZ,China
BRA - BRZ,China
BSA - BSZ,China
BTA - BTZ,China
BUA - BUZ,China
BVA - BVZ,China
BWA - BWZ,China
BXA - BXZ,China
BYA - BYZ,China
BZA - BZZ,China
C2A - C2Z,Nauru
C3A - C3Z,Andorra
C4A - C4Z,Cyprus
C5A - C5Z,Gambia
C6A - C6Z,Bahamas
C7A - C7Z,World Meteorological Organization
C8A - C8Z,Mozambique
C9A - C9Z,Mozambique
CAA - CAZ,Chile
CBA - CBZ,Chile
CCA - CCZ,Chile
CDA - CDZ,Chile
CEA - CEZ,Chile
CFA - CFZ,Canada
CGA - CGZ,Canada
CHA - CHZ,Canada
CIA - CIZ,Canada
CJA - CJZ,Canada
CKA - CKZ,Canada
CLA - CLZ,Cuba
CMA - CMZ,Cuba
CNA - CNZ,Morocco
COA - COZ,Cuba
CPA - CPZ,Bolivia (Plurinational State of)
CQA - CQZ,Portugal
CRA - CRZ,Portugal
CSA - CSZ,Portugal
CTA - CTZ,Portugal
CUA - CUZ,Portugal
CVA - CVZ,Uruguay
CWA - CWZ,Uruguay
CXA - CXZ,Uruguay
CYA - CYZ,Canada
CZA - CZZ,Canada
D2A - D2Z,Angola
D3A - D3Z,Angola
D4A - D4Z,Cabo Verde
D5A - D5Z,Liberia
D6A - D6Z,Comoros
D7A - D7Z,Korea
D8A - D8Z,Korea
D9A - D9Z,Korea
DAA - DAZ,Germany
DBA - DBZ,Germany
DCA - DCZ,Germany
DDA - DDZ,Germany
DEA - DEZ,Germany
DFA - DFZ,Germany
DGA - DGZ,Germany
DHA - DHZ,Germany
DIA - DIZ,Germany
DJA - DJZ,Germany
DKA - DKZ,Germany
DLA - DLZ,Germany
DMA - DMZ,Germany
DNA - DNZ,Germany
DOA - DOZ,Germany
DPA - DPZ,Germany
DQA - DQZ,Germany
DRA - DRZ,Germany
DSA - DSZ,Korea
DTA - DTZ,Korea
DUA - DUZ,Philippines
DVA - DVZ,Philippines
DWA - DWZ,Philippines
DXA - DXZ,Philippines
DYA - DYZ,Philippines
DZA - DZZ,Philippines
E2A - E2Z,Thailand
E3A - E3Z,Eritrea
E4A - E4Z,"State of Palestine (In accordance with Resolution 99 Rev. Dubai, 2018)"
E5A - E5Z,New Zealand - Cook Islands
E6A - E6Z,New Zealand - Niue
E7A - E7Z,Bosnia and Herzegovina
EAA - EAZ,Spain
EBA - EBZ,Spain
ECA - ECZ,Spain
EDA - EDZ,Spain
EEA - EEZ,Spain
EFA - EFZ,Spain
EGA - EGZ,Spain
EHA - EHZ,Spain
EIA - EIZ,Ireland
EJA - EJZ,Ireland
EKA - EKZ,Armenia
ELA - ELZ,Liberia
EMA - EMZ,Ukraine
ENA - ENZ,Ukraine
EOA - EOZ,Ukraine
EPA - EPZ,Iran
EQA - EQZ,Iran
ERA - ERZ,Moldova
ESA - ESZ,Estonia
ETA - ETZ,Ethiopia
EUA - EUZ,Belarus
EVA - EVZ,Belarus
EWA - EWZ,Belarus
EXA - EXZ,Kyrgyz Republic
EYA - EYZ,Tajikistan
EZA - EZZ,Turkmenistan
FAA - FAZ,France
FBA - FBZ,France
FCA - FCZ,France
FDA - FDZ,France
FEA - FEZ,France
FFA - FFZ,France
FGA - FGZ,France
FHA - FHZ,France
FIA - FIZ,France
FJA - FJZ,France
FKA - FKZ,France
FLA - FLZ,France
FMA - FMZ,France
FNA - FNZ,France
FOA - FOZ,France
FPA - FPZ,France
FQA - FQZ,France
FRA - FRZ,France
FSA - FSZ,France
FTA - FTZ,France
FUA - FUZ,France
FVA - FVZ,France
FWA - FWZ,France
FXA - FXZ,France
FYA - FYZ,France
FZA - FZZ,France
GAA - GAZ,United Kingdom of Great Britain and Northern Ireland
GBA - GBZ,United Kingdom of Great Britain and Northern Ireland
GCA - GCZ,United Kingdom of Great Britain and Northern Ireland
GDA - GDZ,United Kingdom of Great Britain and Northern Ireland
GEA - GEZ,United Kingdom of Great Britain and Northern Ireland
GFA - GFZ,United Kingdom of Great Britain and Northern Ireland
GGA - GGZ,United Kingdom of Great Britain and Northern Ireland
GHA - GHZ,United Kingdom of Great Britain and Northern Ireland
GIA - GIZ,United Kingdom of Great Britain and Northern Ireland
GJA - GJZ,United Kingdom of Great Britain and Northern Ireland
GKA - GKZ,United Kingdom of Great Britain and Northern Ireland
GLA - GLZ,United Kingdom of Great Britain and Northern Ireland
GMA - GMZ,United Kingdom of Great Britain and Northern Ireland
GNA - GNZ,United Kingdom of Great Britain and Northern Ireland
GOA - GOZ,United Kingdom of Great Britain and Northern Ireland
GPA - GPZ,United Kingdom of Great Britain and Northern Ireland
GQA - GQZ,United Kingdom of Great Britain and Northern Ireland
GRA - GRZ,United Kingdom of Great Britain and Northern Ireland
GSA - GSZ,United Kingdom of Great Britain and Northern Ireland
GTA - GTZ,United Kingdom of Great Britain and Northern Ireland
GUA - GUZ,United Kingdom of Great Britain and Northern Ireland
GVA - GVZ,United Kingdom of Great Britain and Northern Ireland
GWA - GWZ,United Kingdom of Great Britain and Northern Ireland
GXA - GXZ,United Kingdom of Great Britain and Northern Ireland
GYA - GYZ,United Kingdom of Great Britain and Northern Ireland
GZA - GZZ,United Kingdom of Great Britain and Northern Ireland
H2A - H2Z,Cyprus
H3A - H3Z,Panama
H4A - H4Z,Solomon Islands
H6A - H6Z,Nicaragua
H7A - H7Z,Nicaragua
H8A - H8Z,Panama
H9A - H9Z,Panama
HAA - HAZ,Hungary
HBA - HBZ,Switzerland
HCA - HCZ,Ecuador
HDA - HDZ,Ecuador
HEA - HEZ,Switzerland
HFA - HFZ,Poland
HGA - HGZ,Hungary
HHA - HHZ,Haiti
HIA - HIZ,Dominican Republic
HJA - HJZ,Colombia
HKA - HKZ,Colombia
HLA - HLZ,Korea
HMA - HMZ,Korea
HNA - HNZ,Iraq
HOA - HOZ,Panama
HPA - HPZ,Panama
HQA - HQZ,Honduras
HRA - HRZ,Honduras
HSA - HSZ,Thailand
HTA - HTZ,Nicaragua
HUA - HUZ,El Salvador
HVA - HVZ,Vatican City State
HWA - HWZ,France
HXA - HXZ,France
HYA - HYZ,France
HZA - HZZ,Saudi Arabia
IAA - IAZ,Italy
IBA - IBZ,Italy
ICA - ICZ,Italy
IDA - IDZ,Italy
IEA - IEZ,Italy
IFA - IFZ,Italy
IGA - IGZ,Italy
IHA - IHZ,Italy
IIA - IIZ,Italy
IJA - IJZ,Italy
IKA - IKZ,Italy
ILA - ILZ,Italy
IMA - IMZ,Italy
INA - INZ,Italy
IOA - IOZ,Italy
IPA - IPZ,Italy
IQA - IQZ,Italy
IRA - IRZ,Italy
ISA - ISZ,Italy
ITA - ITZ,Italy
IUA - IUZ,Italy
IVA - IVZ,Italy
IWA - IWZ,Italy
IXA - IXZ,Italy
IYA - IYZ,Italy
IZA - IZZ,Italy
J2A - J2Z,Djibouti
J3A - J3Z,Grenada
J4A - J4Z,Greece
J5A - J5Z,Guinea-Bissau
J6A - J6Z,Saint Lucia
J7A - J7Z,Dominica
J8A - J8Z,Saint Vincent and the Grenadines
JAA - JAZ,Japan
JBA - JBZ,Japan
JCA - JCZ,Japan
JDA - JDZ,Japan
JEA - JEZ,Japan
JFA - JFZ,Japan
JGA - JGZ,Japan
JHA - JHZ,Japan
JIA - JIZ,Japan
JJA - JJZ,Japan
JKA - JKZ,Japan
JLA - JLZ,Japan
JMA - JMZ,Japan
JNA - JNZ,Japan
JOA - JOZ,Japan
JPA - JPZ,Japan
JQA - JQZ,Japan
JRA - JRZ,Japan
JSA - JSZ,Japan
JTA - JTZ,Mongolia
JUA - JUZ,Mongolia
JVA - JVZ,Mongolia
JWA - JWZ,Norway
JXA - JXZ,Norway
JYA - JYZ,Jordan (Hashemite Kingdom of)
JZA - JZZ,Indonesia
KAA - KAZ,United States of America
KBA - KBZ,United States of America
KCA - KCZ,United States of America
KDA - KDZ,United States of America
KEA - KEZ,United States of America
KFA - KFZ,United States of America
KGA - KGZ,United States of America
KHA - KHZ,United States of America
KIA - KIZ,United States of America
KJA - KJZ,United States of America
KKA - KKZ,United States of America
KLA - KLZ,United States of America
KMA - KMZ,United States of America
KNA - KNZ,United States of America
KOA - KOZ,United States of America
KPA - KPZ,United States of America
KQA - KQZ,United States of America
KRA - KRZ,United States of America
KSA - KSZ,United States of America
KTA - KTZ,United States of America
KUA - KUZ,United States of America
KVA - KVZ,United States of America
KWA - KWZ,United States of America
KXA - KXZ,United States of America
KYA - KYZ,United States of America
KZA - KZZ,United States of America
L2A - L2Z,Argentine Republic
L3A - L3Z,Argentine Republic
L4A - L4Z,Argentine Republic
L5A - L5Z,Argentine Republic
L6A - L6Z,Argentine Republic
L7A - L7Z,Argentine Republic
L8A - L8Z,Argentine Republic
L9A - L9Z,Argentine Republic
LAA - LAZ,Norway
LBA - LBZ,Norway
LCA - LCZ,Norway
LDA - LDZ,Norway
LEA - LEZ,Norway
LFA - LFZ,Norway
LGA - LGZ,Norway
LHA - LHZ,Norway
LIA - LIZ,Norway
LJA - LJZ,Norway
LKA - LKZ,Norway
LLA - LLZ,Norway
LMA - LMZ,Norway
LNA - LNZ,Norway
LOA - LOZ,Argentine Republic
LPA - LPZ,Argentine Republic
LQA - LQZ,Argentine Republic
LRA - LRZ,Argentine Republic
LSA - LSZ,Argentine Republic
LTA - LTZ,Argentine Republic
LUA - LUZ,Argentine Republic
LVA - LVZ,Argentine Republic
LWA - LWZ,Argentine Republic
LXA - LXZ,Luxembourg
LYA - LYZ,Lithuania
LZA - LZZ,Bulgaria
MAA - MAZ,United Kingdom of Great Britain and Northern Ireland
MBA - MBZ,United Kingdom of Great Britain and Northern Ireland
MCA - MCZ,United Kingdom of Great Britain and Northern Ireland
MDA - MDZ,United Kingdom of Great Britain and Northern Ireland
MEA - MEZ,United Kingdom of Great Britain and Northern Ireland
MFA - MFZ,United Kingdom of Great Britain and Northern Ireland
MGA - MGZ,United Kingdom of Great Britain and Northern Ireland
MHA - MHZ,United Kingdom of Great Britain and Northern Ireland
MIA - MIZ,United Kingdom of Great Britain and Northern Ireland
MJA - MJZ,United Kingdom of Great Britain and Northern Ireland
MKA - MKZ,United Kingdom of Great Britain and Northern Ireland
MLA - MLZ,United Kingdom of Great Britain and Northern Ireland
MMA - MMZ,United Kingdom of Great Britain and Northern Ireland
MNA - MNZ,United Kingdom of Great Britain and Northern Ireland
MOA - MOZ,United Kingdom of Great Britain and Northern Ireland
MPA - MPZ,United Kingdom of Great Britain and Northern Ireland
MQA - MQZ,United Kingdom of Great Britain and Northern Ireland
MRA - MRZ,United Kingdom of Great Britain and Northern Ireland
MSA - MSZ,United Kingdom of Great Britain and Northern Ireland
MTA - MTZ,United Kingdom of Great Britain and Northern Ireland
MUA - MUZ,United Kingdom of Great Britain and Northern Ireland
MVA - MVZ,United Kingdom of Great Britain and Northern Ireland
MWA - MWZ,United Kingdom of Great Britain and Northern Ireland
MXA - MXZ,United Kingdom of Great Britain and Northern Ireland
MYA - MYZ,United Kingdom of Great Britain and Northern Ireland
MZA - MZZ,United Kingdom of Great Britain and Northern Ireland
NAA - NAZ,United States of America
NBA - NBZ,United States of America
NCA - NCZ,United States of America
NDA - NDZ,United States of America
NEA - NEZ,United States of America
NFA - NFZ,United States of America
NGA - NGZ,United States of America
NHA - NHZ,United States of America
NIA - NIZ,United States of America
NJA - NJZ,United States of America
NKA - NKZ,United States of America
NLA - NLZ,United States of America
NMA - NMZ,United States of America
NNA - NNZ,United States of America
NOA - NOZ,United States of America
NPA - NPZ,United States of America
NQA - NQZ,United States of America
NRA - NRZ,United States of America
NSA - NSZ,United States of America
NTA - NTZ,United States of America
NUA - NUZ,United States of America
NVA - NVZ,United States of America
NWA - NWZ,United States of America
NXA - NXZ,United States of America
NYA - NYZ,United States of America
NZA - NZZ,United States of America
OAA - OAZ,Peru
OBA - OBZ,Peru
OCA - OCZ,Peru
ODA - ODZ,Lebanon
OEA - OEZ,Austria
OFA - OFZ,Finland
OGA - OGZ,Finland
OHA - OHZ,Finland
OIA - OIZ,Finland
OJA - OJZ,Finland
OKA - OKZ,Czech Republic
OLA - OLZ,Czech Republic
OMA - OMZ,Slovak Republic
ONA - ONZ,Belgium
OOA - OOZ,Belgium
OPA - OPZ,Belgium
OQA - OQZ,Belgium
ORA - ORZ,Belgium
OSA - OSZ,Belgium
OTA - OTZ,Belgium
OUA - OUZ,Denmark
OVA - OVZ,Denmark
OWA - OWZ,Denmark
OXA - OXZ,Denmark
OYA - OYZ,Denmark
OZA - OZZ,Denmark
P2A - P2Z,Papua New Guinea
P3A - P3Z,Cyprus
P4A - P4Z,Netherlands - Aruba
P5A - P5Z,Korea
P6A - P6Z,Korea
P7A - P7Z,Korea
P8A - P8Z,Korea
P9A - P9Z,Korea
PAA - PAZ,Netherlands
PBA - PBZ,Netherlands
PCA - PCZ,Netherlands
PDA - PDZ,Netherlands
PEA - PEZ,Netherlands
PFA - PFZ,Netherlands
PGA - PGZ,Netherlands
PHA - PHZ,Netherlands
PIA - PIZ,Netherlands
PJA - PJZ,"Netherlands - Bonaire, Sint Eustatius and Saba"
PJA - PJZ,Netherlands - Curaçao
PJA - PJZ,Netherlands - Sint Maarten
PKA - PKZ,Indonesia
PLA - PLZ,Indonesia
PMA - PMZ,Indonesia
PNA - PNZ,Indonesia
POA - POZ,Indonesia
PPA - PPZ,Brazil
PQA - PQZ,Brazil
PRA - PRZ,Brazil
PSA - PSZ,Brazil
PTA - PTZ,Brazil
PUA - PUZ,Brazil
PVA - PVZ,Brazil
PWA - PWZ,Brazil
PXA - PXZ,Brazil
PYA - PYZ,Brazil
PZA - PZZ,Suriname
RAA - RAZ,Russian Federation
RBA - RBZ,Russian Federation
RCA - RCZ,Russian Federation
RDA - RDZ,Russian Federation
REA - REZ,Russian Federation
RFA - RFZ,Russian Federation
RGA - RGZ,Russian Federation
RHA - RHZ,Russian Federation
RIA - RIZ,Russian Federation
RJA - RJZ,Russian Federation
RKA - RKZ,Russian Federation
RLA - RLZ,Russian Federation
RMA - RMZ,Russian Federation
RNA - RNZ,Russian Federation
ROA - ROZ,Russian Federation
RPA - RPZ,Russian Federation
RQA - RQZ,Russian Federation
RRA - RRZ,Russian Federation
RSA - RSZ,Russian Federation
RTA - RTZ,Russian Federation
RUA - RUZ,Russian Federation
RVA - RVZ,Russian Federation
RWA - RWZ,Russian Federation
RXA - RXZ,Russian Federation
RYA - RYZ,Russian Federation
RZA - RZZ,Russian Federation
S2A - S2Z,Bangladesh
S3A - S3Z,Bangladesh
S5A - S5Z,Slovenia
S6A - S6Z,Singapore
S7A - S7Z,Seychelles
S8A - S8Z,South Africa
S9A - S9Z,Sao Tome and Principe
SAA - SAZ,Sweden
SBA - SBZ,Sweden
SCA - SCZ,Sweden
SDA - SDZ,Sweden
SEA - SEZ,Sweden
SFA - SFZ,Sweden
SGA - SGZ,Sweden
SHA - SHZ,Sweden
SIA - SIZ,Sweden
SJA - SJZ,Sweden
SKA - SKZ,Sweden
SLA - SLZ,Sweden
SMA - SMZ,Sweden
SNA - SNZ,Poland
SOA - SOZ,Poland
SPA - SPZ,Poland
SQA - SQZ,Poland
SRA - SRZ,Poland
SSA - SSM,Egypt
SSN - SSZ,Sudan
STA - STZ,Sudan
SUA - SUZ,Egypt
SVA - SVZ,Greece
SWA - SWZ,Greece
SXA - SXZ,Greece
SYA - SYZ,Greece
SZA - SZZ,Greece
T2A - T2Z,Tuvalu
T3A - T3Z,Kiribati
T4A - T4Z,Cuba
T5A - T5Z,Somalia
T6A - T6Z,Afghanistan
T7A - T7Z,San Marino
T8A - T8Z,Palau
TAA - TAZ,Republic of Türkiye
TBA - TBZ,Republic of Türkiye
TCA - TCZ,Republic of Türkiye
TDA - TDZ,Guatemala
TEA - TEZ,Costa Rica
TFA - TFZ,Iceland
TGA - TGZ,Guatemala
THA - THZ,France
TIA - TIZ,Costa Rica
TJA - TJZ,Cameroon
TKA - TKZ,France
TLA - TLZ,Central African Republic
TMA - TMZ,France
TNA - TNZ,Congo
TOA - TOZ,France
TPA - TPZ,France
TQA - TQZ,France
TRA - TRZ,Gabonese Republic
TSA - TSZ,Tunisia
TTA - TTZ,Chad
TUA - TUZ,Côte d'Ivoire
TVA - TVZ,France
TWA - TWZ,France
TXA - TXZ,France
TYA - TYZ,Benin
TZA - TZZ,Mali
UAA - UAZ,Russian Federation
UBA - UBZ,Russian Federation
UCA - UCZ,Russian Federation
UDA - UDZ,Russian Federation
UEA - UEZ,Russian Federation
UFA - UFZ,Russian Federation
UGA - UGZ,Russian Federation
UHA - UHZ,Russian Federation
UIA - UIZ,Russian Federation
UJA - UJZ,Uzbekistan
UKA - UKZ,Uzbekistan
ULA - ULZ,Uzbekistan
UMA - UMZ,Uzbekistan
UNA - UNZ,Kazakhstan
UOA - UOZ,Kazakhstan
UPA - UPZ,Kazakhstan
UQA - UQZ,Kazakhstan
URA - URZ,Ukraine
USA - USZ,Ukraine
UTA - UTZ,Ukraine
UUA - UUZ,Ukraine
UVA - UVZ,Ukraine
UWA - UWZ,Ukraine
UXA - UXZ,Ukraine
UYA - UYZ,Ukraine
UZA - UZZ,Ukraine
V2A - V2Z,Antigua and Barbuda
V3A - V3Z,Belize
V4A - V4Z,Saint Kitts and Nevis (Federation of)
V5A - V5Z,Namibia
V6A - V6Z,Micronesia (Federated States of)
V7A - V7Z,Marshall Islands
V8A - V8Z,Brunei Darussalam
VAA - VAZ,Canada
VBA - VBZ,Canada
VCA - VCZ,Canada
VDA - VDZ,Canada
VEA - VEZ,Canada
VFA - VFZ,Canada
VGA - VGZ,Canada
VHA - VHZ,Australia
VIA - VIZ,Australia
VJA - VJZ,Australia
VKA - VKZ,Australia
VLA - VLZ,Australia
VMA - VMZ,Australia
VNA - VNZ,Australia
VOA - VOZ,Canada
VPA - VPZ,United Kingdom of Great Britain and Northern Ireland
VQA - VQZ,United Kingdom of Great Britain and Northern Ireland
VRA - VRZ,China - Hong Kong
VSA - VSZ,United Kingdom of Great Britain and Northern Ireland
VTA - VTZ,India
VUA - VUZ,India
VVA - VVZ,India
VWA - VWZ,India
VXA - VXZ,Canada
VYA - VYZ,Canada
VZA - VZZ,Australia
WAA - WAZ,United States of America
WBA - WBZ,United States of America
WCA - WCZ,United States of America
WDA - WDZ,United States of America
WEA - WEZ,United States of America
WFA - WFZ,United States of America
WGA - WGZ,United States of America
WHA - WHZ,United States of America
WIA - WIZ,United States of America
WJA - WJZ,United States of America
WKA - WKZ,United States of America
WLA - WLZ,United States of America
WMA - WMZ,United States of America
WNA - WNZ,United States of America
WOA - WOZ,United States of America
WPA - WPZ,United States of America
WQA - WQZ,United States of America
WRA - WRZ,United States of America
WSA - WSZ,United States of America
WTA - WTZ,United States of America
WUA - WUZ,United States of America
WVA - WVZ,United States of America
WWA - WWZ,United States of America
WXA - WXZ,United States of America
WYA - WYZ,United States of America
WZA - WZZ,United States of America
XAA - XAZ,Mexico
XBA - XBZ,Mexico
XCA - XCZ,Mexico
XDA - XDZ,Mexico
XEA - XEZ,Mexico
XFA - XFZ,Mexico
XGA - XGZ,Mexico
XHA - XHZ,Mexico
XIA - XIZ,Mexico
XJA - XJZ,Canada
XKA - XKZ,Canada
XLA - XLZ,Canada
XMA - XMZ,Canada
